antecedents,consequents,support,confidence,lift
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('IceCream')},0.169,0.72,0.83
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Pizza')},0.015,0.26,1.11
{np.str_('Pasta')},{np.str_('IceCream')},0.16,0.89,1.01
{np.str_('Ketchup')},{np.str_('Pasta')},0.056,0.55,1.02
{np.str_('Pasta')},{np.str_('Burger')},0.123,0.65,0.81
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Burger')},0.284,0.62,1.43
{np.str_('Soup')},{np.str_('Pizza')},0.078,0.24,0.88
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Pasta')},0.111,0.15,1.38
{np.str_('Soup')},{np.str_('IceCream')},0.122,0.62,1.48
{np.str_('Burger')},{np.str_('Fries')},0.253,0.18,1.39
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Ketchup')},0.118,0.6,1.26
"{np.str_('Burger'), np.str_('Coke')}",{np.str_('Pizza')},0.247,0.53,1.09
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Fries')},0.206,0.29,1.12
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Pizza')},0.213,0.43,1.06
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Sandwich')},0.171,0.74,1.02
{np.str_('Pasta')},{np.str_('Soup')},0.069,0.16,0.9
{np.str_('Coke')},{np.str_('IceCream')},0.075,0.18,0.94
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Coke')},0.203,0.89,1.3
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('IceCream')},0.158,0.7,1.08
{np.str_('Fries')},{np.str_('IceCream')},0.231,0.59,0.83
{np.str_('IceCream')},{np.str_('Coke')},0.093,0.39,1.46
{np.str_('Pizza')},{np.str_('IceCream')},0.032,0.33,0.87
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Salad')},0.088,0.75,1.24
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Coke')},0.142,0.25,0.91
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Salad')},0.24,0.86,1.49
{np.str_('Pizza')},{np.str_('Coke')},0.119,0.58,1.42
{np.str_('Salad')},{np.str_('Burger')},0.204,0.56,0.86
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pasta')},0.291,0.21,1.33
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Ketchup')},0.144,0.82,0.8
{np.str_('Pizza')},{np.str_('Ketchup')},0.111,0.45,1.35
{np.str_('Fries')},{np.str_('Sandwich')},0.059,0.81,0.83
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.249,0.85,0.96
{np.str_('IceCream')},{np.str_('Sandwich')},0.114,0.15,0.93
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Sandwich')},0.217,0.71,1.19
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pasta')},0.157,0.68,0.83
{np.str_('Sandwich')},{np.str_('Pasta')},0.062,0.27,1.1
{np.str_('Soup')},{np.str_('Ketchup')},0.239,0.6,1.04
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('IceCream')},0.242,0.62,1.23
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Salad')},0.266,0.57,1.26
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Pasta')},0.126,0.48,0.9
{np.str_('Soup')},{np.str_('Salad')},0.145,0.13,0.93
{np.str_('Ketchup')},{np.str_('Pizza')},0.279,0.49,1.39
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Sandwich')},0.061,0.48,1.13
{np.str_('Burger')},{np.str_('Ketchup')},0.228,0.45,0.87
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Sandwich')},0.043,0.89,1.08
{np.str_('Salad')},{np.str_('Sandwich')},0.213,0.45,0.98
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Fries')},0.134,0.56,1.1
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('IceCream')},0.17,0.27,1.45
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Coke')},0.047,0.35,1.36
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Soup')},0.111,0.49,0.87
{np.str_('Ketchup')},{np.str_('Soup')},0.213,0.77,1.17
{np.str_('Sandwich')},{np.str_('Pizza')},0.175,0.14,1.3
{np.str_('Ketchup')},{np.str_('Coke')},0.135,0.81,1.13
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Coke')},0.174,0.28,1.03
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pasta')},0.237,0.81,1.11
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Ketchup')},0.015,0.74,1.27
{np.str_('IceCream')},{np.str_('Pizza')},0.257,0.28,1.02
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Sandwich')},0.131,0.62,0.85
{np.str_('Soup')},{np.str_('Pizza')},0.167,0.66,1.44
{np.str_('Pasta')},{np.str_('Burger')},0.274,0.74,0.98
{np.str_('Sandwich')},{np.str_('Pizza')},0.106,0.49,1.0
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Salad')},0.202,0.2,1.13
{np.str_('Pasta')},{np.str_('Burger')},0.027,0.83,1.46
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Pasta')},0.101,0.32,1.43
{np.str_('Coke')},{np.str_('Pasta')},0.023,0.52,0.89
{np.str_('IceCream')},{np.str_('Pasta')},0.203,0.15,0.99
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Fries')},0.029,0.79,1.02
{np.str_('Soup')},{np.str_('Coke')},0.03,0.48,1.22
{np.str_('IceCream')},{np.str_('Pasta')},0.062,0.55,1.46
{np.str_('Salad')},{np.str_('Burger')},0.014,0.85,1.33
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Pizza')},0.072,0.57,1.48
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Sandwich')},0.085,0.27,1.13
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Sandwich')},0.29,0.63,1.16
{np.str_('Pizza')},{np.str_('Burger')},0.208,0.68,1.26
{np.str_('Burger')},{np.str_('Ketchup')},0.294,0.3,1.47
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Sandwich')},0.097,0.51,1.01
{np.str_('Sandwich')},{np.str_('Fries')},0.149,0.4,1.41
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.059,0.73,0.96
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Pizza')},0.107,0.79,1.4
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Coke')},0.042,0.7,1.02
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Soup')},0.203,0.26,1.07
{np.str_('Soup')},{np.str_('Ketchup')},0.238,0.2,1.19
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Salad')},0.268,0.54,1.2
{np.str_('Soup')},{np.str_('Burger')},0.154,0.29,1.25
{np.str_('Pasta')},{np.str_('Salad')},0.27,0.84,0.89
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Ketchup')},0.122,0.73,1.09
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Pizza')},0.045,0.6,1.07
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Ketchup')},0.286,0.82,1.43
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Burger')},0.11,0.33,1.14
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Pasta')},0.112,0.3,1.08
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Pizza')},0.253,0.27,1.45
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Sandwich')},0.256,0.7,1.27
{np.str_('Sandwich')},{np.str_('Fries')},0.085,0.88,0.86
{np.str_('Salad')},{np.str_('Sandwich')},0.218,0.5,1.05
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Pasta')},0.184,0.14,1.29
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Pizza')},0.058,0.79,1.39
{np.str_('Salad')},{np.str_('Soup')},0.047,0.5,1.32
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Coke')},0.059,0.23,1.37
{np.str_('Pasta')},{np.str_('Soup')},0.126,0.69,1.08
{np.str_('Fries')},{np.str_('Coke')},0.114,0.75,1.35
{np.str_('Sandwich')},{np.str_('Pasta')},0.091,0.55,1.47
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('IceCream')},0.138,0.7,1.3
{np.str_('Salad')},{np.str_('Burger')},0.05,0.1,0.87
{np.str_('Sandwich')},{np.str_('Pasta')},0.094,0.6,0.81
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('IceCream')},0.059,0.85,0.84
{np.str_('Soup')},{np.str_('Ketchup')},0.152,0.73,0.87
{np.str_('Fries')},{np.str_('IceCream')},0.22,0.53,1.47
{np.str_('Coke')},{np.str_('Pasta')},0.179,0.28,1.28
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Fries')},0.149,0.63,1.04
{np.str_('Pasta')},{np.str_('Fries')},0.035,0.72,0.82
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Fries')},0.295,0.41,1.44
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Pasta')},0.277,0.58,1.42
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('IceCream')},0.269,0.81,1.44
{np.str_('Sandwich')},{np.str_('IceCream')},0.034,0.36,1.18
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('IceCream')},0.149,0.87,1.13
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Salad')},0.071,0.81,1.01
{np.str_('Pizza')},{np.str_('Ketchup')},0.256,0.68,1.44
{np.str_('Ketchup')},{np.str_('Soup')},0.065,0.3,0.92
{np.str_('Sandwich')},{np.str_('Pizza')},0.1,0.72,1.19
{np.str_('Soup')},{np.str_('Coke')},0.246,0.74,1.11
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Sandwich')},0.015,0.45,1.16
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Soup')},0.09,0.83,1.09
{np.str_('Fries')},{np.str_('IceCream')},0.133,0.78,0.99
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Soup')},0.227,0.39,1.49
{np.str_('Salad')},{np.str_('Pasta')},0.033,0.71,1.33
{np.str_('Sandwich')},{np.str_('Burger')},0.264,0.22,1.21
{np.str_('Coke')},{np.str_('Pizza')},0.026,0.53,1.12
{np.str_('Sandwich')},{np.str_('Ketchup')},0.13,0.86,0.97
{np.str_('Fries')},{np.str_('Pasta')},0.2,0.53,1.03
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Coke')},0.271,0.36,0.85
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Fries')},0.286,0.74,0.93
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Fries')},0.282,0.62,1.4
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('IceCream')},0.081,0.25,1.11
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Soup')},0.218,0.71,0.83
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Soup')},0.097,0.71,1.13
{np.str_('Pasta')},{np.str_('Coke')},0.036,0.79,1.08
{np.str_('Pasta')},{np.str_('Salad')},0.29,0.8,1.22
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Fries')},0.133,0.79,0.98
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Pizza')},0.078,0.57,1.49
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Pizza')},0.019,0.5,1.43
{np.str_('Pasta')},{np.str_('Burger')},0.224,0.1,1.46
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('IceCream')},0.281,0.85,0.92
{np.str_('IceCream')},{np.str_('Pizza')},0.19,0.37,1.22
{np.str_('Coke')},{np.str_('Pasta')},0.048,0.35,0.84
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Salad')},0.033,0.7,0.93
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Burger')},0.251,0.15,0.96
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Burger')},0.06,0.38,1.28
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Burger')},0.284,0.46,1.36
{np.str_('Burger')},{np.str_('Fries')},0.139,0.43,0.81
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Coke')},0.233,0.61,1.3
{np.str_('Coke')},{np.str_('Pasta')},0.234,0.18,1.34
{np.str_('Pasta')},{np.str_('Coke')},0.031,0.13,1.4
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Fries')},0.11,0.82,1.21
{np.str_('Pizza')},{np.str_('Burger')},0.178,0.87,1.07
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Pasta')},0.166,0.75,0.99
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Coke')},0.277,0.82,1.35
{np.str_('Ketchup')},{np.str_('Fries')},0.261,0.54,1.29
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Pasta')},0.047,0.13,1.03
"{np.str_('Burger'), np.str_('Coke')}",{np.str_('Sandwich')},0.03,0.74,0.85
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Soup')},0.024,0.46,1.23
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Coke')},0.148,0.38,0.88
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('IceCream')},0.182,0.81,0.85
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Ketchup')},0.051,0.82,1.47
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Salad')},0.153,0.6,0.91
{np.str_('Pizza')},{np.str_('Pasta')},0.16,0.25,0.81
{np.str_('Salad')},{np.str_('Sandwich')},0.121,0.29,1.44
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Sandwich')},0.235,0.67,1.2
{np.str_('Salad')},{np.str_('Soup')},0.287,0.25,1.47
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Fries')},0.068,0.85,0.96
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Salad')},0.239,0.83,0.87
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Pasta')},0.064,0.61,1.08
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Sandwich')},0.264,0.37,1.11
{np.str_('Pizza')},{np.str_('Salad')},0.164,0.81,0.93
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Sandwich')},0.244,0.23,1.44
{np.str_('Pasta')},{np.str_('Burger')},0.112,0.1,1.16
{np.str_('Ketchup')},{np.str_('Pasta')},0.043,0.31,1.39
{np.str_('Coke')},{np.str_('IceCream')},0.253,0.71,1.33
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Soup')},0.083,0.88,1.08
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Ketchup')},0.12,0.66,1.33
{np.str_('Sandwich')},{np.str_('Soup')},0.065,0.14,0.85
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Salad')},0.183,0.52,1.49
{np.str_('Burger')},{np.str_('Pizza')},0.195,0.51,1.4
"{np.str_('Burger'), np.str_('Coke')}",{np.str_('IceCream')},0.262,0.13,0.82
{np.str_('Pasta')},{np.str_('Pizza')},0.107,0.22,1.1
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Salad')},0.232,0.16,1.03
{np.str_('Burger')},{np.str_('Ketchup')},0.147,0.34,1.24
{np.str_('Soup')},{np.str_('IceCream')},0.241,0.8,1.15
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Sandwich')},0.271,0.75,1.0
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Pizza')},0.036,0.45,1.43
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('Burger')},0.021,0.48,1.12
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Sandwich')},0.11,0.46,0.99
{np.str_('Fries')},{np.str_('Pasta')},0.222,0.23,1.33
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Salad')},0.019,0.6,1.49
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Ketchup')},0.043,0.47,1.23
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Burger')},0.196,0.41,1.09
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Coke')},0.279,0.27,1.04
{np.str_('Salad')},{np.str_('Pasta')},0.056,0.86,0.97
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Fries')},0.116,0.14,1.36
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Pizza')},0.131,0.83,0.86
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Ketchup')},0.196,0.83,1.34
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Sandwich')},0.222,0.52,1.48
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Salad')},0.136,0.1,1.37
{np.str_('IceCream')},{np.str_('Soup')},0.235,0.4,1.28
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Pizza')},0.154,0.59,1.49
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Ketchup')},0.215,0.4,1.31
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pizza')},0.014,0.8,1.46
{np.str_('IceCream')},{np.str_('Salad')},0.184,0.43,0.92
{np.str_('Coke')},{np.str_('Burger')},0.133,0.77,1.17
{np.str_('Ketchup')},{np.str_('Fries')},0.161,0.35,1.49
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('IceCream')},0.229,0.6,0.88
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Salad')},0.016,0.49,1.2
{np.str_('Fries')},{np.str_('Pasta')},0.116,0.3,1.28
{np.str_('Fries')},{np.str_('Pasta')},0.059,0.57,0.9
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Fries')},0.176,0.6,1.17
{np.str_('Pizza')},{np.str_('Salad')},0.278,0.31,1.5
{np.str_('Coke')},{np.str_('Pizza')},0.167,0.38,1.38
{np.str_('Fries')},{np.str_('Sandwich')},0.269,0.83,0.81
{np.str_('IceCream')},{np.str_('Ketchup')},0.136,0.87,0.87
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Sandwich')},0.099,0.39,1.37
{np.str_('Sandwich')},{np.str_('Pizza')},0.093,0.64,1.0
{np.str_('Salad')},{np.str_('Soup')},0.033,0.4,1.18
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Coke')},0.26,0.44,1.14
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('Soup')},0.049,0.55,1.0
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Sandwich')},0.284,0.82,1.17
{np.str_('Burger')},{np.str_('Fries')},0.013,0.35,1.08
{np.str_('Soup')},{np.str_('Salad')},0.012,0.29,1.46
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Salad')},0.229,0.47,1.04
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('IceCream')},0.126,0.54,0.99
{np.str_('Soup')},{np.str_('Coke')},0.119,0.62,1.34
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('IceCream')},0.286,0.64,1.13
{np.str_('Fries')},{np.str_('Soup')},0.251,0.83,1.24
{np.str_('Burger')},{np.str_('Pizza')},0.026,0.43,1.46
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Fries')},0.081,0.69,1.37
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Salad')},0.235,0.39,1.27
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Salad')},0.08,0.49,1.18
{np.str_('Pizza')},{np.str_('Ketchup')},0.133,0.7,1.48
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Sandwich')},0.245,0.35,1.46
{np.str_('Pizza')},{np.str_('Soup')},0.094,0.18,1.34
{np.str_('Salad')},{np.str_('Pizza')},0.279,0.49,0.94
{np.str_('Sandwich')},{np.str_('Burger')},0.225,0.87,1.24
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('IceCream')},0.291,0.21,1.18
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Sandwich')},0.034,0.84,0.94
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('IceCream')},0.057,0.89,1.19
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Coke')},0.113,0.42,1.36
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Fries')},0.069,0.15,1.36
{np.str_('Pasta')},{np.str_('Burger')},0.036,0.58,1.4
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Coke')},0.144,0.85,1.19
{np.str_('Pasta')},{np.str_('Burger')},0.152,0.2,1.47
{np.str_('Soup')},{np.str_('Salad')},0.146,0.29,1.5
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('IceCream')},0.281,0.87,1.11
"{np.str_('Coke'), np.str_('Burger')}",{np.str_('Sandwich')},0.052,0.29,1.28
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Soup')},0.169,0.13,1.27
{np.str_('Sandwich')},{np.str_('Salad')},0.259,0.56,0.95
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pizza')},0.27,0.76,1.23
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Coke')},0.288,0.86,1.48
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Salad')},0.138,0.38,1.18
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pizza')},0.091,0.63,1.1
{np.str_('Burger')},{np.str_('Salad')},0.209,0.49,1.13
{np.str_('Ketchup')},{np.str_('Pizza')},0.154,0.21,1.34
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Sandwich')},0.248,0.53,1.01
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Fries')},0.094,0.39,0.99
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Pasta')},0.164,0.57,1.17
{np.str_('Coke')},{np.str_('Ketchup')},0.027,0.59,1.13
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Fries')},0.157,0.31,1.27
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.233,0.26,1.03
{np.str_('Burger')},{np.str_('Soup')},0.187,0.6,1.15
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Salad')},0.031,0.26,1.18
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Pizza')},0.214,0.6,1.06
{np.str_('Pasta')},{np.str_('IceCream')},0.295,0.17,0.91
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Pasta')},0.212,0.5,1.2
{np.str_('Pasta')},{np.str_('Soup')},0.018,0.37,1.35
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Ketchup')},0.073,0.37,0.93
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Burger')},0.153,0.74,1.46
{np.str_('Sandwich')},{np.str_('Ketchup')},0.14,0.34,0.85
{np.str_('Fries')},{np.str_('Pizza')},0.258,0.35,1.41
{np.str_('IceCream')},{np.str_('Ketchup')},0.121,0.38,1.35
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Salad')},0.159,0.46,1.12
{np.str_('Ketchup')},{np.str_('Pizza')},0.121,0.54,1.3
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Fries')},0.279,0.58,1.17
{np.str_('Pizza')},{np.str_('Sandwich')},0.146,0.42,1.34
{np.str_('Fries')},{np.str_('IceCream')},0.212,0.74,1.29
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Fries')},0.059,0.8,1.03
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('IceCream')},0.178,0.53,1.19
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Soup')},0.187,0.14,1.29
{np.str_('Soup')},{np.str_('IceCream')},0.094,0.13,1.17
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Fries')},0.146,0.68,1.31
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('IceCream')},0.037,0.31,1.01
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Sandwich')},0.277,0.33,1.39
{np.str_('Pasta')},{np.str_('Soup')},0.11,0.32,1.36
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Fries')},0.158,0.46,0.86
{np.str_('Pizza')},{np.str_('Ketchup')},0.295,0.11,1.15
{np.str_('IceCream')},{np.str_('Ketchup')},0.032,0.14,1.01
{np.str_('Pasta')},{np.str_('Burger')},0.209,0.71,1.36
{np.str_('Soup')},{np.str_('Salad')},0.217,0.69,0.96
{np.str_('Pasta')},{np.str_('IceCream')},0.185,0.22,1.11
{np.str_('Pizza')},{np.str_('Pasta')},0.126,0.3,1.42
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Ketchup')},0.063,0.31,1.29
{np.str_('Pasta')},{np.str_('Salad')},0.182,0.13,0.91
{np.str_('Fries')},{np.str_('Pizza')},0.075,0.19,1.37
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Salad')},0.277,0.77,1.49
{np.str_('IceCream')},{np.str_('Coke')},0.268,0.19,1.49
{np.str_('Pizza')},{np.str_('Salad')},0.02,0.41,1.48
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('IceCream')},0.179,0.82,0.84
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Soup')},0.15,0.13,1.25
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Ketchup')},0.085,0.29,1.34
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('IceCream')},0.038,0.5,1.28
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pizza')},0.292,0.81,1.19
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Ketchup')},0.083,0.25,1.33
{np.str_('Sandwich')},{np.str_('Pizza')},0.207,0.5,1.18
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Pasta')},0.071,0.49,0.93
{np.str_('Burger')},{np.str_('Fries')},0.031,0.84,0.81
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Pasta')},0.162,0.68,1.43
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('IceCream')},0.273,0.81,1.03
{np.str_('Coke')},{np.str_('Fries')},0.265,0.14,1.46
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pizza')},0.227,0.65,1.3
{np.str_('Salad')},{np.str_('Fries')},0.268,0.31,0.84
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Coke')},0.23,0.74,1.29
{np.str_('Pizza')},{np.str_('Sandwich')},0.034,0.66,0.89
{np.str_('Pasta')},{np.str_('Fries')},0.269,0.62,0.81
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Burger')},0.28,0.43,1.41
{np.str_('Pizza')},{np.str_('Ketchup')},0.066,0.31,1.11
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Coke')},0.275,0.51,1.38
{np.str_('Coke')},{np.str_('Burger')},0.157,0.73,1.41
{np.str_('Burger')},{np.str_('Fries')},0.071,0.66,1.21
{np.str_('Fries')},{np.str_('Burger')},0.152,0.64,1.27
{np.str_('Pasta')},{np.str_('Ketchup')},0.27,0.31,1.03
{np.str_('Coke')},{np.str_('Fries')},0.12,0.12,1.28
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Salad')},0.234,0.84,1.08
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Coke')},0.155,0.18,1.33
{np.str_('Pizza')},{np.str_('Ketchup')},0.046,0.74,1.33
